Name,max_DepDelayMinutes
"Southwest Airlines Co.: WN",500
"Frontier Airlines Inc.: F9",615
"Alaska Airlines Inc.: AS",627
"PSA Airlines Inc.: OH",714
"JetBlue Airways: B6",830
"Hawaiian Airlines Inc.: HA",1007
"Envoy Air: MQ",1034
"Republic Airline: YX",1151
"Spirit Air Lines: NK",1171
"Delta Air Lines Inc.: DL",1207
"Mesa Airlines Inc.: YV",1259
"Endeavor Air Inc.: 9E",1352
"United Air Lines Inc.: UA",1427
"SkyWest Airlines Inc.: OO",1429
"Allegiant Air: G4",1462
"ExpressJet Airlines LLC: EV",1511
"American Airlines Inc.: AA",1787
