Airport,Reason,num_cancelations
"Abilene, TX: Abilene Regional","National Air System",1
"Aguadilla, PR: Rafael Hernandez",Carrier,1
"Akron, OH: Akron-Canton Regional",Weather,5
"Albany, NY: Albany International",Weather,15
"Albuquerque, NM: Albuquerque International Sunport",Weather,7
"Alexandria, LA: Alexandria International",Weather,2
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,10
"Anchorage, AK: Ted Stevens Anchorage International",Weather,7
"Appleton, WI: Appleton International","National Air System",2
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,3
"Asheville, NC: Asheville Regional",Weather,11
"Ashland, WV: Tri-State/Milton J. Ferguson Field",Weather,2
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,9
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,55
"Augusta, GA: Augusta Regional at Bush Field",Weather,2
"Austin, TX: Austin - Bergstrom International",Weather,14
"Bakersfield, CA: Meadows Field",Weather,1
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,90
"Bangor, ME: Bangor International",Weather,9
"Barrow, AK: Wiley Post/Will Rogers Memorial",Carrier,1
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Carrier,4
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Carrier,1
"Bend/Redmond, OR: Roberts Field","National Air System",1
"Bethel, AK: Bethel Airport",Carrier,2
"Billings, MT: Billings Logan International",Weather,1
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,7
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,2
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","National Air System",4
"Boise, ID: Boise Air Terminal",Weather,2
"Boston, MA: Logan International",Weather,87
"Brownsville, TX: Brownsville South Padre Island International",Weather,5
"Buffalo, NY: Buffalo Niagara International",Weather,20
"Burbank, CA: Bob Hope",Carrier,14
"Burlington, VT: Burlington International",Weather,14
"CONCORD, NC: Concord Padgett Regional",Carrier,1
"Cape Girardeau, MO: Cape Girardeau Regional",Weather,3
"Cedar Rapids/Iowa City, IA: The Eastern Iowa","National Air System",13
"Champaign/Urbana, IL: University of Illinois/Willard","National Air System",5
"Charleston, SC: Charleston AFB/International",Weather,10
"Charleston/Dunbar, WV: Yeager",Weather,3
"Charlotte, NC: Charlotte Douglas International",Weather,74
"Charlottesville, VA: Charlottesville Albemarle",Weather,12
"Chattanooga, TN: Lovell Field",Weather,4
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field","National Air System",1
"Chicago, IL: Chicago Midway International",Weather,123
"Chicago, IL: Chicago O'Hare International",Weather,597
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,22
"Cleveland, OH: Cleveland-Hopkins International",Weather,24
"Cody, WY: Yellowstone Regional",Weather,3
"College Station/Bryan, TX: Easterwood Field",Carrier,2
"Colorado Springs, CO: City of Colorado Springs Municipal",Weather,8
"Columbia, MO: Columbia Regional","National Air System",3
"Columbia, SC: Columbia Metropolitan",Carrier,2
"Columbus, GA: Columbus Airport",Weather,3
"Columbus, OH: John Glenn Columbus International",Weather,32
"Corpus Christi, TX: Corpus Christi International",Carrier,4
"Dallas, TX: Dallas Love Field",Carrier,16
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,109
"Dayton, OH: James M Cox/Dayton International","National Air System",13
"Denver, CO: Denver International",Weather,71
"Des Moines, IA: Des Moines International","National Air System",9
"Detroit, MI: Detroit Metro Wayne County",Weather,41
"Devils Lake, ND: Devils Lake Regional","National Air System",4
"Dubuque, IA: Dubuque Regional","National Air System",4
"Duluth, MN: Duluth International",Weather,5
"Durango, CO: Durango La Plata County",Carrier,1
"Eagle, CO: Eagle County Regional",Weather,2
"Eau Claire, WI: Chippewa Valley Regional",Weather,1
"El Paso, TX: El Paso International","National Air System",2
"Eugene, OR: Mahlon Sweet Field",Weather,4
"Evansville, IN: Evansville Regional","National Air System",5
"Fairbanks, AK: Fairbanks International",Carrier,2
"Fargo, ND: Hector International",Weather,4
"Fayetteville, AR: Northwest Arkansas Regional",Carrier,7
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Weather,5
"Flagstaff, AZ: Flagstaff Pulliam",Weather,1
"Flint, MI: Bishop International",Weather,4
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Weather,31
"Fort Myers, FL: Southwest Florida International",Weather,17
"Fort Smith, AR: Fort Smith Regional","National Air System",1
"Fort Wayne, IN: Fort Wayne International",Weather,7
"Fresno, CA: Fresno Yosemite International",Weather,2
"Gainesville, FL: Gainesville Regional",Carrier,2
"Garden City, KS: Garden City Regional",Weather,4
"Gillette, WY: Gillette Campbell County",Weather,1
"Grand Island, NE: Central Nebraska Regional",Carrier,1
"Grand Rapids, MI: Gerald R. Ford International",Weather,17
"Great Falls, MT: Great Falls International",Weather,1
"Green Bay, WI: Green Bay Austin Straubel International",Weather,4
"Greensboro/High Point, NC: Piedmont Triad International",Weather,5
"Greer, SC: Greenville-Spartanburg International",Weather,7
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Weather,5
"Hancock/Houghton, MI: Houghton County Memorial",Weather,3
"Harlingen/San Benito, TX: Valley International",Carrier,2
"Harrisburg, PA: Harrisburg International",Weather,7
"Hartford, CT: Bradley International",Weather,20
"Hayden, CO: Yampa Valley",Weather,1
"Hays, KS: Hays Regional",Weather,5
"Hilo, HI: Hilo International",Carrier,3
"Hilton Head, SC: Hilton Head Airport",Weather,1
"Hobbs, NM: Lea County Regional",Weather,1
"Honolulu, HI: Daniel K Inouye International",Carrier,11
"Houston, TX: George Bush Intercontinental/Houston",Weather,35
"Houston, TX: William P Hobby",Weather,13
"Huntsville, AL: Huntsville International-Carl T Jones Field",Carrier,4
"Idaho Falls, ID: Idaho Falls Regional",Weather,1
"Indianapolis, IN: Indianapolis International",Weather,39
"Islip, NY: Long Island MacArthur",Weather,2
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",Weather,1
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,4
"Jacksonville, FL: Jacksonville International",Carrier,9
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Weather,2
"Jamestown, ND: Jamestown Regional",Weather,5
"Joplin, MO: Joplin Regional",Weather,1
"Juneau, AK: Juneau International",Carrier,3
"Kahului, HI: Kahului Airport",Carrier,7
"Kalamazoo, MI: Kalamazoo/Battle Creek International","National Air System",7
"Kansas City, MO: Kansas City International",Weather,115
"Kearney, NE: Kearney Regional",Weather,1
"Ketchikan, AK: Ketchikan International",Carrier,1
"Key West, FL: Key West International",Carrier,1
"Killeen, TX: Robert Gray AAF",Carrier,1
"Knoxville, TN: McGhee Tyson",Weather,9
"Kodiak, AK: Kodiak Airport",Weather,1
