FlightDate,avg_total_flights
2018-11-01,NULL
2018-11-02,19892.0000
2018-11-03,20092.0000
2018-11-04,18722.6667
2018-11-05,18638.3333
2018-11-06,18727.3333
2018-11-07,19849.3333
2018-11-08,19904.3333
2018-11-09,20016.0000
2018-11-10,20545.0000
2018-11-11,19257.6667
2018-11-12,18918.3333
2018-11-13,18934.3333
2018-11-14,20325.0000
2018-11-15,20459.0000
2018-11-16,20487.6667
2018-11-17,20885.6667
2018-11-18,19787.6667
2018-11-19,19213.6667
2018-11-20,18718.6667
2018-11-21,19887.6667
2018-11-22,20534.6667
2018-11-23,18024.0000
2018-11-24,16263.6667
2018-11-25,15965.6667
2018-11-26,19262.6667
2018-11-27,21370.6667
2018-11-28,21156.0000
2018-11-29,20173.3333
2018-11-30,19776.6667
